Updates 220, num timesteps 141440, FPS 159
 Last 92 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 230, num timesteps 147840, FPS 159
 Last 96 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 240, num timesteps 154240, FPS 159
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 250, num timesteps 160640, FPS 159
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 260, num timesteps 167040, FPS 160
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 270, num timesteps 173440, FPS 160
 Last 100 training episodes: mean/median reward 0.02/0.00, min/max reward 0.00/0.84, success rate 0.02

Updates 280, num timesteps 179840, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 290, num timesteps 186240, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

 

Updates 300, num timesteps 192640, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 310, num timesteps 199040, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 320, num timesteps 205440, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 330, num timesteps 211840, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 340, num timesteps 218240, FPS 160
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 350, num timesteps 224640, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 360, num timesteps 231040, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 370, num timesteps 237440, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 380, num timesteps 243840, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 390, num timesteps 250240, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

 

Updates 400, num timesteps 256640, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.84, success rate 0.01

Updates 410, num timesteps 263040, FPS 161
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 420, num timesteps 269440, FPS 161
 Last 100 training episodes: mean/median reward 0.00/0.00, min/max reward 0.00/0.00, success rate 0.00

Updates 430, num timesteps 275840, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 440, num timesteps 282240, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 450, num timesteps 288640, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 460, num timesteps 295040, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 470, num timesteps 301440, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 480, num timesteps 307840, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 490, num timesteps 314240, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

 

Updates 500, num timesteps 320640, FPS 161
 Last 100 training episodes: mean/median reward 0.01/0.00, min/max reward 0.00/0.87, success rate 0.01

Updates 510, num timesteps 327040, FPS 161
