 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 470, num timesteps 301440, FPS 350
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 480, num timesteps 307840, FPS 350
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

Updates 490, num timesteps 314240, FPS 350
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.07

 

Updates 500, num timesteps 320640, FPS 351
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/1.00, success rate 0.07

Updates 510, num timesteps 327040, FPS 351
 Last 100 training episodes: mean/median reward 0.05/0.00, min/max reward 0.00/1.00, success rate 0.05

Updates 520, num timesteps 333440, FPS 351
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.07

Updates 530, num timesteps 339840, FPS 351
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 540, num timesteps 346240, FPS 352
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 550, num timesteps 352640, FPS 352
 Last 100 training episodes: mean/median reward 0.14/0.00, min/max reward 0.00/1.00, success rate 0.15

Updates 560, num timesteps 359040, FPS 352
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 570, num timesteps 365440, FPS 353
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/0.97, success rate 0.11

Updates 580, num timesteps 371840, FPS 353
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/0.97, success rate 0.07

Updates 590, num timesteps 378240, FPS 353
 Last 100 training episodes: mean/median reward 0.06/0.00, min/max reward 0.00/0.97, success rate 0.07

 

Updates 600, num timesteps 384640, FPS 353
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/0.99, success rate 0.10

Updates 610, num timesteps 391040, FPS 353
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/0.99, success rate 0.14

Updates 620, num timesteps 397440, FPS 354
 Last 100 training episodes: mean/median reward 0.16/0.00, min/max reward 0.00/1.00, success rate 0.17

Updates 630, num timesteps 403840, FPS 354
 Last 100 training episodes: mean/median reward 0.17/0.00, min/max reward 0.00/1.00, success rate 0.18

Updates 640, num timesteps 410240, FPS 354
 Last 100 training episodes: mean/median reward 0.15/0.00, min/max reward 0.00/1.00, success rate 0.16

Updates 650, num timesteps 416640, FPS 354
 Last 100 training episodes: mean/median reward 0.12/0.00, min/max reward 0.00/1.00, success rate 0.13

Updates 660, num timesteps 423040, FPS 354
 Last 100 training episodes: mean/median reward 0.13/0.00, min/max reward 0.00/1.00, success rate 0.14

Updates 670, num timesteps 429440, FPS 354
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 680, num timesteps 435840, FPS 355
 Last 100 training episodes: mean/median reward 0.11/0.00, min/max reward 0.00/1.00, success rate 0.12

Updates 690, num timesteps 442240, FPS 355
 Last 100 training episodes: mean/median reward 0.09/0.00, min/max reward 0.00/1.00, success rate 0.10

 

Updates 700, num timesteps 448640, FPS 355
 Last 100 training episodes: mean/median reward 0.07/0.00, min/max reward 0.00/1.00, success rate 0.08

Updates 710, num timesteps 455040, FPS 355
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 720, num timesteps 461440, FPS 355
 Last 100 training episodes: mean/median reward 0.08/0.00, min/max reward 0.00/1.00, success rate 0.09

Updates 730, num timesteps 467840, FPS 355
 Last 100 training episodes: mean/median reward 0.10/0.00, min/max reward 0.00/1.00, success rate 0.11

Updates 740, num timesteps 474240, FPS 356
